problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio
1901A,0,['this is the og problem'],[],"['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']",,False,True,0,0.0
1901A,1,['for loop'],['for loop'],"['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    n, x = map(int, input().split())
    a = list(map(int, input().split()))
    return max(max(a) * 2 - x, max(a[-1], x))
",False,False,1,1.0
1901A,2,"['for loop', 'while loop']","['recursion', 'if statement']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve(n, x, a, i=0, ans=0):
    if i == n:
        return max(ans, (x - a[i-1]) * 2)
    if a[i] > (x - a[i]) * 2:
        return max(solve(n, x, a, i+1, a[i]), ans)
    else:
        return max(solve(n, x, a, i+1, (x - a[i]) * 2), ans)
",False,True,2,1.0
1901A,3,"['for loop', 'while loop', 'sorting']","['for loop', 'if statement', 'tuple', 'misc']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    n, x = map(int, input().split())
    a = list(map(int, input().split()))
    ans = 0
    for i in range(n):
        if a[i] > (x - a[i]) * 2:
            ans = max(ans, a[i])
        else:
            ans = max(ans, (x - a[i]) * 2)
    print(max(ans, x*2))
",False,False,4,1.0
1899A,0,['this is the og problem'],"['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""Second"")
        else:
            print(""First"")
",True,True,2,1.0
1899A,1,['for loop'],['if statement'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","def solve():
    t = int(input())
    n = int(input())
    if (n - 1) % 3 == 0 or (n + 1) % 3 == 0:
        print(""First"")
    else:
        print(""Second"")
",True,True,1,1.0
1899A,2,"['for loop', 'while loop']","['for loop', 'if statement']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if (n - 1) % 3 == 0 or (n + 1) % 3 == 0:
            print(""First"")
        else:
            print(""Second"")
",True,False,2,1.0
1899A,3,"['for loop', 'while loop', 'if statement']",['if statement'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve(n):
    if (n - 1) % 3 == 0 or (n + 1) % 3 == 0:
        return ""First""
    else:
        return ""Second""
",False,False,1,1.0
1899A,4,"['for loop', 'while loop', 'if statement', 'tuple']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if (n - 1) % 3 == 0 or (n + 1) % 3 == 0:
            print(""First"")
        else:
            print(""Second"")
",True,False,2,1.0
1898A,0,['this is the og problem'],"['if statement', 'misc', 'tuple', 'hashmap']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    
    if b_count == k:
        print(0)
        return
    
    if b_count > k:
        print(n - (b_count - k))
        for i in range(k):
            print(i + 1, 'A')
        return
    
    print(b_count - k + 1)
    first_b_index = s.find('B')
    print(first_b_index + 1, 'B')
",False,True,4,1.0
1898A,1,['hashmap'],"['if statement', 'for loop', 'break statement', 'tuple', 'misc']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    
    if b_count == k:
        print(0)
        return
    
    if b_count > k:
        print(n - (b_count - k))
        for i in range(k):
            print(i + 1, 'A')
        return
    
    diff = b_count - k
    min_replacements = n - diff
    max_replacements = n
    
    if min_replacements <= max_replacements:
        print(min_replacements)
        for i in range(n):
            if s[i] == 'B':
                break
        print(i + 1, 'B')
        
        for i in range(n):
            if s[i] != 'B':
                print(i + 1, 'A')
    else:
        print(max_replacements)
        for i in range(n):
            if s[i] == 'A':
                break
        print(i + 1, 'A')
        
        for i in range(n):
            if s[i] != 'B':
                print(i + 1, 'A')
",False,True,5,1.0
1898A,2,"['hashmap', 'continue statement']","['if statement', 'for loop', 'tuple']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    
    if b_count == k:
        print(0)
        return
    
    if b_count > k:
        print(n - (b_count - k))
        for i in range(k):
            print(i + 1, 'A')
        return
    
    print(b_count - k + 1)
    for i in range(n):
        if s[i] == 'B':
            break
    print(i + 1, 'B')
    
    for i in range(n):
        if s[i] != 'B' and b_count < k:
            print(i + 1, 'A')
            b_count += 1
",False,True,3,1.0
1898A,3,"['hashmap', 'continue statement', 'for loop']","['if statement', 'for loop', 'tuple']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = 0
    for i in range(n):
        if s[i] == 'B':
            b_count += 1
    if b_count >= k:
        print(0)
    else:
        diff = k - b_count
        ans = []
        for i in range(n-1, -1, -1):
            if s[i] == 'A' and diff > 0:
                ans.append((i + 1, 'B'))
                diff -= 1
            elif s[i] == 'B':
                ans.append((i + 1, 'A'))
        print(len(ans))
        for i in range(len(ans)):
            print(*ans[i])
",False,False,3,1.0
1898A,4,"['hashmap', 'continue statement', 'for loop', 'if statement']","['if statement', 'while loop', 'tuple']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = sum(1 for c in s if c == 'B')
    
    if b_count == k:
        print(0)
        return
    
    if b_count > k:
        i = 0
        while i < n and s[i] != 'A':
            i += 1
        print(i + 1, 'A')
        print(n, 'B')
    else:
        i = 0
        while i < n and s[i] == 'A':
            i += 1
        if i > 0:
            print(i, 'B')
        print(n, 'A')
",False,False,3,1.0
1898A,5,"['hashmap', 'continue statement', 'for loop', 'if statement', 'misc']","['if statement', 'for loop', 'while loop', 'if statement', 'for loop', 'while loop']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = sum(1 for c in s if c == 'B')
    
    if b_count == k:
        print(0)
        return
    
    if b_count > k:
        i = 0
        while i < n and s[i] != 'A':
            i += 1
        print(i + 1, 'A')
        print(n, 'B')
    else:
        i = 0
        while i < n and s[i] == 'A':
            i += 1
        print(1, 'B')
        print(i, 'A')
",False,False,3,0.5
1895B,0,['this is the og problem'],"['for loop', 'if statement', 'sorting']","['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys

def solve():
    n = int(input())
    a = sorted(list(map(int, input().split())))
    ans = 0
    for i in range(1, len(a), 2):
        ans += abs(a[i] - a[i-1])
    print(ans)
    for i in range(n):
        if i % 2 == 0:
            print(a[i], a[i+1])
        else:
            print(a[i+1], a[i])
",False,True,3,1.0
1895B,1,['for loop'],['for loop'],"['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import itertools

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    a.sort()
    ans = 0
    for i in range(1, len(a), 2):
        ans += abs(a[i] - a[i-1])
    print(ans)
    points = list(itertools.combinations(a, n))
    for point in points:
        x_coords = [x for x, y in point]
        y_coords = [y for x, y in point]
        total_distance = 0
        for i in range(len(point) - 1):
            total_distance += abs(x_coords[i] - x_coords[i+1]) + abs(y_coords[i] - y_coords[i+1])
        if total_distance == ans:
            print(' '.join(map(str, point)))
",False,False,1,1.0
1895B,2,"['for loop', 'if statement']","['if statement', 'for loop', 'sorting']","['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","def solve():
    n = int(input())
    a = list(map(int, input().split()))
    a.sort()
    ans = 0
    for i in range(1, len(a), 2):
        ans += abs(a[i] - a[i-1])
    print(ans)
    for i in range(n):
        if i % 2 == 0:
            print(a[i], a[i+1])
        else:
            print(a[i+1], a[i])
",False,False,3,1.0
1895B,3,"['for loop', 'if statement', 'while loop']","['if statement', 'recursion']","['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys

def solve(n, a, i=0, ans=0):
    if i == len(a) // 2:
        print(ans)
        for j in range(0, len(a), 2):
            print(a[j], a[j+1])
        return
    ans += abs(a[i*2] - a[(i+1)*2])
    solve(n, a, i + 1, ans)
",False,False,2,1.0
1895B,4,"['for loop', 'if statement', 'while loop', 'sorting']",['if statement'],"['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    x = [a[i] for i in range(2 * n) if i % 2 == 0]
    y = [a[i] for i in range(2 * n) if i % 2 != 0]
",False,False,1,1.0
1895B,5,"['for loop', 'if statement', 'while loop', 'sorting', 'tuple']",['for loop'],"['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    x = []
    y = []
",False,False,1,1.0
1895A,0,['this is the og problem'],['for loop'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        x, y, k = map(int, input().split())
",False,True,1,1.0
1895A,1,['if statement'],"['for loop', 'tuple', 'misc']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        x, y, k = map(int, input().split())
",False,True,3,1.0
1895A,2,"['if statement', 'for loop']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        x, y, k = map(int, input().split())
        result = max(x, y)
        if abs(x - y) > k:
            result += 2 * min(k, abs(x - y)) - abs(y - max(0, y - k))
        print(result)
",False,False,2,1.0
1895A,3,"['if statement', 'for loop', 'matrix operation']","['if statement', 'for loop', 'tuple']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","def solve():
    for _ in range(int(input())):
        x, y, k = map(int, input().split())
        if abs(x - y) <= k:
            print(max(x, y))
        else:
            print(abs(y - max(0, y - k)) + 2 * min(k, abs(x - y)))
",False,False,3,1.0
1895A,4,"['if statement', 'for loop', 'matrix operation', 'while loop']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        x, y, k = map(int, input().split())
        if abs(x - y) <= k:
            print(abs(x - y))
        else:
            if k == 0:
                print(2 * max(x, y))
            elif x > y:
                print(y + (k - abs(x - y)))
            else:
                print(max(y + (k - abs(x - y)), 2 * max(x, y)))
",False,False,2,1.0
1895A,5,"['if statement', 'for loop', 'matrix operation', 'while loop', 'tuple']","['if statement', 'for loop', 'while loop', 'break statement']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        x, y, k = map(int, input().split())
        if abs(x - y) <= k:
            print(abs(x - y))
        else:
            result = max(y + (k - abs(x - y)), 2 * max(x, y))
            while True:
                if result == 0 or result < 1:
                    break
                elif result % 2 != 0:
                    result -= 1
                result //= 2
            print(result)
",False,False,4,1.0
1894A,0,['this is the og problem'],"['if statement', 'set']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '-', '1', ']', '*', '0', '2', ""'"", '{', '}', 'x', 'l', '+', 'c', 'h', '""', '\t', 'w']","def solve():
    n = int(input())
    s = input()
    if len(set(s)) == 1:
        print(s[0])
    elif s.count('A') > s.count('B'):
        print('A')
    elif s.count('B') > s.count('A'):
        print('B')
    else:
        print('?')
",False,True,2,1.0
1894A,1,['for loop'],"['if statement', 'set', 'hashmap']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '-', '1', ']', '*', '0', '2', ""'"", '{', '}', 'x', 'l', '+', 'c', 'h', '""', '\t', 'w']","import sys

def solve():
    n = int(input())
    s = input()
    if len(set(s)) == 1:
        print(s[0])
    else:
        print('A' if s.count('A') >= s.count('B') else 'B')
",False,True,3,1.0
